name,categories,class
Caciocavallo,"Zutaten,Filata-Käse,Schafskäsesorten,Apulischer Käse,Kalabrischer Käse,Sizilianischer Käse,Kampanischer Käse",Veggie
Caciocavallo Silano,"Zutaten,Kalabrischer Käse,Reibekäsesorten,Schnittkäsesorten",Veggie
Cacioricotta,"Zutaten,Käse aus Molise und Basilikata,Kalabrischer Käse,Kampanischer Käse,Käse aus Latium,Apulischer Käse",Veggie
Calabacín,"Zutaten,Fruchtgemüse",Veggie
Calisson,Zutaten,Veggie
Calvados,"Zutaten,Kernobstbranntweine",Veggie
Camargue-Reis,"Zutaten,Reissorten",Veggie
Cambozola,"Zutaten,Deutscher Käse,Blauschimmelkäsesorten",Veggie
Camembert,"Zutaten,Weichkäsesorten,Weißschimmelkäse,Käse aus der Normandie und der Bretagne",Veggie
Campari,"Zutaten,Bitterliköre",Veggie
Canestrato,"Zutaten,Sizilianischer Käse,Hartkäsesorten,Apulischer Käse",Veggie
Canestrato trentino,Zutaten,Veggie
Cannaroni,"Zutaten,Nudelsorten",Veggie
Cannelloni,"Zutaten,Nudelsorten",Veggie
Cantal,"Zutaten,Schnittkäsesorten,Käse aus Mittelfrankreich",Veggie
Cantuccini,Zutaten,Veggie
Capelli d'angelo,"Zutaten,Bandnudelsorten",Veggie
Capellini,"Zutaten,Bandnudelsorten",Veggie
Capelvenere,"Zutaten,Bandnudelsorten",Veggie
Caprino,"Zutaten,Apulischer Käse,Venezianischer und Friauler Käse,Lombardischer Käse,Piemonteser Käse,Südtiroler Käse,Käse der Marken und Abruzzen,Käse aus Molise und Basilikata,Kalabrischer Käse,Kampanischer Käse,Käse aus Latium,Sizilianischer Käse,Toskanischer Käse",Veggie
Carré de l'Est,"Zutaten,Weichkäsesorten,Rotschmierkäsesorten,Käse aus Nordostfrankreich",Veggie
Carré de Tourpes,"Zutaten,Belgischer Käse,Weichkäsesorten",Veggie
Casarecce,"Zutaten,Bandnudelsorten",Veggie
Cashewkern,Zutaten,Veggie
Casolet,"Zutaten,Südtiroler Käse,Lombardischer Käse,Salzlakenkäse",Veggie
Cassatella,"Zutaten,Nudelsorten",Veggie
Castelfranco,Zutaten,Veggie
Castellane,"Zutaten,Nudelsorten",Veggie
Castello Bianco,"Zutaten,Dänischer Käse,Weichkäsesorten",Veggie
Castello Blue,"Zutaten,Dänischer Käse,Blauschimmelkäsesorten,Weichkäsesorten",Veggie
Castelmagno,"Zutaten,Piemonteser Käse,Hartkäsesorten,Schafskäsesorten,Blauschimmelkäsesorten",Veggie
Cavatappi,"Zutaten,Nudelsorten",Veggie
Cayennepfeffer,"Zutaten,Chilisorten",Veggie
Cebreiro,"Zutaten,Käse aus Galicien,Schnittkäsesorten,Ziegenkäsesorten",Veggie
Cellentani,"Zutaten,Nudelsorten",Veggie
Cervelat,"Zutaten,Brühwurstsorten",Fleisch
Chabichou du Poitou,"Zutaten,Weichkäsesorten,Ziegenkäsesorten,Käse aus Zentralfrankreich",Veggie
Chabis,"Zutaten,Weichkäsesorten,Ziegenkäsesorten,Käse aus Westfrankreich",Veggie
Chablis,Zutaten,Veggie
Chamäleonpflanze,"Zutaten,Küchenkräuter",Veggie
Champignon,"Zutaten,Pilzsorten",Veggie
Chaource,"Zutaten,Weichkäsesorten,Käse aus Nordostfrankreich,Weißschimmelkäse",Veggie
Chapatimehl,Zutaten,Veggie
Chartreuse,"Zutaten,Kräuterliköre",Veggie
Chateaubriand,Zutaten,Veggie
Chatta,Zutaten,Veggie
Chaumes,"Zutaten,Rotschmierkäsesorten,Weichkäsesorten,Käse aus Westfrankreich",Veggie
Chavroux,"Zutaten,Frischkäsesorten,Käse aus Westfrankreich",Veggie
Chayote,Zutaten,Veggie
Cheddar,"Zutaten,Käse aus Großbritannien,Hartkäsesorten,Schnittkäsesorten",Veggie
Cherimoya,"Zutaten,Kernobst",Veggie
Cherimoyasaft,"Zutaten,Fruchtgetränke",Veggie
Chermoula,Zutaten,Veggie
Cherry Brandy,"Zutaten,Fruchtliköre",Veggie
Cheshire,"Zutaten,Käse aus Großbritannien,Schnittkäsesorten,Hartkäsesorten",Veggie
Chevrotin,"Zutaten,Ziegenkäsesorten,Schnittkäsesorten,Käse aus Rhône-Alpes,Salzlakenkäse",Veggie
Chicorée,"Zutaten,Sprossengemüse,Küchenkräuter,Salatsorten",Veggie
Chifferi,"Zutaten,Nudelsorten",Veggie
Chili,"Zutaten,Chilisorten",Veggie
Wein:Chili-Met,Zutaten,Veggie
Chilibohnen,Zutaten,Veggie
Chilisauce,Zutaten,Veggie
Chinakohl,"Zutaten,Kohlsorten,Salatsorten",Veggie
Chipirones,"Zutaten,Fischarten",Fisch
Chloro,"Zutaten,Griechischer Käse",Veggie
Chopin,"Zutaten,Wodka und ähnliche",Veggie
Chorherrenkäse,"Zutaten,Österreichischer Käse,Schnittkäsesorten",Veggie
Chorizo,"Zutaten,Rohwurstsorten",Fleisch
Christa,"Zutaten,Vorwiegend festkochend",Veggie
Ciabatta,Zutaten,Veggie
Cidre,Zutaten,Veggie
Cidre-Essig,"Zutaten,Aromazutaten,Obstessige",Veggie
Cilena,Zutaten,Veggie
Citroback,Zutaten,Veggie
Clacbitou,"Zutaten,Weichkäsesorten,Ziegenkäsesorten,Käse aus Burgund",Veggie
Clapps Liebling,"Zutaten,Birnensorte",Veggie
Clivia,"Zutaten,Vorwiegend festkochend",Veggie
